current_price,no_of_reviews,original_price,product_brand,product_id,product_name,rating
39.93,24,50.0,Purist,165541,Mover Vacuum Water Bottle with Union Top - 18 fl. oz.,3.8
298.93,3,399.0,Sea to Summit,204191,Tanami Tm II Down Camping Comforter,5.0
126.93,3,169.95,IceMule,218852,R-Jaunt 20 L Cooler,5.0
174.73,0,270.0,Mountain Hardwear,233706,Lamina 0 Sleeping Bag - Women's Long,0.0
518.93,0,649.0,FLATED,218364,Air-Deck Raised Platform Bed - Medium,0.0
148.93,19,199.0,Selk'Bag,198917,Original Recycled Wearable Sleeping Bag,4.1
179.73,1,240.0,Mountain Hardwear,233701,Lamina 0 Sleeping Bag - Short,5.0
54.93,1,109.95,IceMule,218851,Clear 15 L Cooler,5.0
20.93,61,30.0,Stanley,228248,AeroLight Transit Bottle - 16 fl. oz.,4.6
74.73,0,100.0,Osprey,240611,Talon Jr. Pack - Kids',0.0
69.73,0,145.0,Dragon,229112,Drac Sunglasses,0.0
144.73,0,245.0,Dragon,229118,Ridge X Sunglasses,0.0
81.73,0,109.95,Gregory,241170,Inertia 18 H2O Hydration Pack - Men's,0.0
111.73,7,150.0,Osprey,229032,Skarab 30 Hydration Pack - Men's,4.7
61.73,0,140.0,Dragon,229110,Count Sunglasses,0.0
24.73,0,34.95,Big Agnes,239238,Pack Raincover - Medium / 35-55 L,0.0
20.73,0,29.95,Sea to Summit,240794,Mesh Stuff Sack - Set of 3,0.0
51.73,0,69.95,Black Diamond,241210,First Strike Trekking Poles - Pair - Kids',0.0
12.73,0,18.95,Sea to Summit,240792,Delta InsulMug,0.0
44.73,5,59.95,Black Diamond,241211,Trail Blitz 16 Pack,4.4
19.73,1,29.0,Outdoor Research,224528,PackOut Graphic Dry Bag - 10 L,5.0
54.73,6,119.99,ALPS Mountaineering,213447,Flexcore Air Pad - XL,2.3
42.73,0,79.95,Big Agnes,232454,Goosenest Cot Double-Wide Accessory Cover,0.0
46.73,2,89.99,ALPS Mountaineering,213480,Eclipse Tic-Tac-Toe Table,3.5
99.73,0,190.0,Dragon,229125,Baile XL Polarized Sunglasses,0.0
28.73,25,49.95,Ledlenser,196359,MH5 Headlamp,2.9
288.73,0,385.0,Mountain Hardwear,233720,Bishop Pass GORE-TEX 15 Sleeping Bag - Short,0.0
20.73,1,29.95,Ledlenser,234518,P2R Core Flashlight,5.0
24.73,0,34.95,Big Agnes,239242,Trash Can - 18 L,0.0
30.73,1,44.95,Sea to Summit,240799,X-Pan - 8 in.,5.0
334.73,0,449.95,Big Agnes,240919,Torchlight UL 20 Sleeping Bag - Women's,0.0
64.73,2,95.0,Nathan,239905,Crossover 5 Liter Hydration Pack,5.0
27.73,0,39.95,Sea to Summit,230602,Mesh Stuff Sack - Set of 3,0.0
34.73,0,49.95,Sea to Summit,240800,X-Pot Kettle - 1.3 Liters,0.0
13.73,6,,Outdoor Research,239655,PackOut Ultralight Stuff Sack,5.0
109.73,2,149.0,Smith,234845,Lowdown XL 2 Polarized Sunglasses,4.5
66.73,4,90.0,Osprey,152957,Talon 6 Hydration Waist Pack - Men's,3.3
58.73,2,99.95,Ledlenser,234520,P7R Core Rechargeable Flashlight,5.0
184.73,54,259.0,Smith,234837,Joya ChromaPop Polarized Glass Sunglasses - Women's,4.5
389.93,22,519.95,Eureka,187694,Space Camp 6-Person Tent,4.0
37.93,2,54.95,REI Co-op,202733,Skyward 6 Footprint,5.0
291.73,0,389.95,NEMO,233414,Riff 30 Sleeping Bag - Women's,0.0
141.93,40,190.0,Arc'teryx,216646,Aerios 30 Pack - Men's,3.9
30.93,7,44.95,REI Co-op,202732,Skyward 4 Footprint,4.7
200.93,6,269.0,Selk'Bag,183035,Pro Wearable Sleeping Bag,4.5
51.93,2,70.0,GreenPan,214274,Clip Series Ceramic Nonstick 3-Piece Saucepan Set with Removable Handle - 1.7 and 3.3 qts.,2.5
79.93,7,115.0,Hotronic,183066,Heat Socks Surround Thin,2.6
35.93,25,51.95,Zippo,183291,HeatBank 9s Plus Rechargeable Hand Warmer and Power Bank,4.0
44.93,6,59.95,Eureka,189407,Space Camp 4-Person Tent Footprint,4.3
98.83,11,199.0,REI Co-op,217992,Outward Hammock,4.4
97.93,2,,adidas,215675,SP0045 Injected Navigator Sunglasses,5.0
230.93,18,329.95,Eureka,189402,NoBugZone 3-in-1 Shelter,2.8
18.93,0,28.0,RockTape,232838,H20 Precut Kinesiology Tape,0.0
29.93,7,39.95,Eureka,189405,Copper Canyon LX 4-Person Tent Footprint,4.7
101.73,1,175.0,Rumpl,234444,Sherpa Fleece Puffy Blanket,5.0
134.73,9,189.0,Smith,211022,Longfin ChromaPop Polarized Sunglasses,4.7
224.73,0,,Big Agnes,240912,Deep Creek Tarp,0.0
89.73,2,119.95,Leki,234492,Legend Black Carbon Walking Staff - Single,3.0
244.73,0,329.95,Big Agnes,240917,Torchlight 20 Sleeping Bag - Men's,0.0
30.73,1,42.0,Mazama Designs,236942,Trailflow Insulated Reservoir - 2 Liters,5.0
29.73,6,39.95,Gregory,227818,3D Hydro Reservoir - 2 Liters,3.7
194.73,0,260.0,Mountain Hardwear,233710,Lamina 15 Sleeping Bag - Extra Long,0.0
17.73,3,27.95,GSI Outdoors,232077,MicroLite 500 Twist Vacuum Water Bottle - 17 fl. oz.,5.0
42.73,0,89.99,ALPS Mountaineering,213476,Adventure Chair,0.0
127.73,78,249.0,Smith,226981,Monterey Polarized Sunglasses - Women's,4.7
100.73,0,135.0,Osprey,240610,Sportlite 30 Pack,0.0
96.73,0,129.95,Gregory,241198,Swift 22 H2O Hydration Pack - Women's,0.0
59.73,38,79.99,ALPS Mountaineering,151569,Wavelength Blanket,4.4
17.73,0,,Sea to Summit,240798,View Dry Sack,0.0
76.93,72,110.0,GCI Outdoor,170998,Freeform Zero Gravity Lounger,4.1
44.73,21,63.99,Kinco,189513,Lined Heavy-Duty Premium Grain and Suede Pigskin Mittens with Knit Wrists,4.2
164.73,36,219.95,Gregory,227814,Jade 53 Pack - Women's,4.6
244.73,0,,Sea to Summit,240807,Trek TkII 18F Down Sleeping Bag,0.0
224.73,88,299.95,Gregory,222440,Baltoro 65 Pack - Men's,4.7
314.93,40,419.95,Eureka,187692,Space Camp 4-Person Tent,4.4
3749.93,27,4999.95,Goal Zero,189524,Yeti 6000X Portable Power Station,4.4
89.99,28,109.95,Nikon,853956,Aculon A211 8 x 42 Binoculars,4.8
299.99,105,400.0,Garmin,216792,Forerunner 255 Music,4.2
186.73,1,249.95,Gregory,227815,Jade 63 Pack - Women's,5.0
296.73,0,395.0,Mountain Hardwear,233718,Bishop Pass GORE-TEX 15 Sleeping Bag,0.0
118.73,82,159.95,Gregory,222459,Jade 28 Pack - Women's,4.6
246.93,62,329.95,Eureka,187693,Copper Canyon LX 6-Person Tent,3.7
119.73,130,159.95,Gregory,222458,Zulu 30 Pack - Men's,4.7
119.73,28,169.95,Gregory,220917,Jade 33 Pack - Women's,4.6
247.73,5,329.95,Gregory,222451,Baltoro 75 Pack - Men's,4.6
36.73,7,51.99,ust,184628,Brila 550 Headlamp,3.3
59.73,2,89.99,ust,130672,60 Day Duro Lantern,3.0
221.73,2,295.0,Mountain Hardwear,233686,Yawn Patrol 30 Sleeping Bag - Long,3.5
84.73,0,145.0,Dragon,229117,Monarch XL Sunglasses,0.0
489.73,1,700.0,Mountain Hardwear,230938,Outpost 2 Tent,3.0
314.73,4,419.95,NEMO,184652,Kayu 15 Sleeping Bag - Men's - Long,3.0
22.73,2,33.0,Outdoor Research,224624,PackOut Graphic Stuff Sack - 35 L,5.0
382.73,8,510.0,Mountain Hardwear,233694,Phantom 30 Sleeping Bag - Long,4.5
457.73,13,610.0,Mountain Hardwear,233692,Phantom 15 Sleeping Bag - Long,4.1
352.73,6,470.0,Mountain Hardwear,233695,Phantom 30 Sleeping Bag - Short,4.3
157.73,0,210.0,Mountain Hardwear,233697,Lamina 30 Sleeping Bag,0.0
164.73,0,220.0,Mountain Hardwear,233712,Lamina 15 Sleeping Bag - Short,0.0
119.73,0,,Sea to Summit,240804,Glow Gw I 50 Synthetic Quilt,0.0
352.73,4,470.0,Mountain Hardwear,233717,Bishop Pass GORE-TEX 0 Sleeping Bag - Short,4.8
17.73,0,24.99,ust,237119,Spright 3AAA LED Lantern,0.0
18.73,2,27.0,Outdoor Research,224527,PackOut Graphic Dry Bag - 8 L,5.0
134.73,0,189.0,Smith,234843,Monterey ChromaPop Polarized Sunglasses - Women's,0.0
307.73,3,410.0,Mountain Hardwear,233719,Bishop Pass GORE-TEX 15 Sleeping Bag - Long,2.3
119.73,0,245.0,Dragon,229121,Tracer X Sunglasses,0.0
32.73,0,44.99,ust,237121,Swerve Hip Pack,0.0
134.73,1,179.95,Big Agnes,240929,Big House 4 Vestibule,5.0
34.73,0,50.0,Big Agnes,240927,Big House 4 Footprint,0.0
139.73,1,199.0,Smith,234846,Lowdown Steel XL ChromaPop Polarized Sunglasses,3.0
74.73,0,110.0,Nathan,239906,Crossover 10 Liter Hydration Pack,0.0
149.73,0,199.95,Big Agnes,240930,Big House 6 Vestibule,0.0
23.73,1,32.0,Mazama Designs,236941,INTAKE Reservoir with Handle - 3 Liters,3.0
184.73,1,259.0,Smith,234836,Deckboss ChromaPop Glass Polarized Sunglasses,4.0
139.73,0,199.95,Sea to Summit,240795,Premium Silk Travel Liner - Rectangular Double,0.0
24.73,2,49.99,ALPS Mountaineering,185046,Meramac 6 Floor Saver Footprint,3.5
16.73,2,25.0,Outdoor Research,224526,PackOut Graphic Dry Bag - 5 L,3.5
172.73,0,230.0,Mountain Hardwear,233698,Lamina 30 Sleeping Bag - Long,0.0
24.73,2,34.99,ust,237118,Spright Recharge LED Lantern with Power Bank,4.0
187.73,0,250.0,Mountain Hardwear,233708,Lamina 15 Sleeping Bag - Women's Long,0.0
13.73,0,19.95,Sea to Summit,240788,AlphaLight 2-Piece Cutlery Set  - Spork & Knife,0.0
178.73,16,239.95,Gregory,241188,Amber 65 Pack - Women's Plus Size,4.8
26.73,0,49.95,Big Agnes,232453,Goosenest Cot Single-Wide Accessory Cover,0.0
20.73,0,30.0,CamelBak,240977,Eddy+ Insulated Stainless-Steel Water Bottle - 25 fl. oz.,0.0
64.73,1,90.0,Mountain Hardwear,231759,ACI 3 Footprint,5.0
179.73,1,249.0,Smith,234847,Shoutout ChromaPop Glass Polarized Sunglasses,5.0
194.73,0,259.95,Gregory,234467,Kalmia 50 Pack - Women's,0.0
21.73,1,29.0,Osprey,233344,Hydraulics Lumbar Reservoir - 1.5 Liters,1.0
99.73,2,149.95,Ignik,240749,2-in-1 Heater-Stove,2.0
206.73,4,275.0,Mountain Hardwear,233685,Yawn Patrol 30 Sleeping Bag,4.8
23.73,0,59.99,ALPS Mountaineering,184978,Camp Creek Two-Room Floor Saver Footprint,0.0
23.73,1,35.0,CamelBak,240978,Eddy+ Insulated Stainless-Steel Water Bottle - 32 fl. oz.,5.0
52.73,3,89.95,Ledlenser,234517,ML6 Rechargeable Electric Lantern,5.0
109.73,3,149.0,Smith,211020,Headliner Sunglasses,4.3
219.73,0,319.0,Sea to Summit,240811,Journey JoI 30 Down Sleeping Bag - Women's Long,0.0
209.73,0,299.95,Big Agnes,239244,Garnet 60 L Pack - Women's,0.0
299.73,0,399.95,Big Agnes,240915,Sand Wash Car Tarp,0.0
149.73,0,209.0,Smith,234838,Joya ChromaPop Polarized Sunglasses - Women's,0.0
149.73,0,209.0,Smith,234840,Rockaway ChromaPop Polarized Sunglasses - Women's,0.0
184.73,47,259.0,Smith,234839,Rockaway ChromaPop Polarized Glass Sunglasses - Women's,4.4
214.73,1,309.95,Mammut,236608,Nordic Down 3-Season Sleeping Bag - Long,3.0
324.73,0,469.0,Sea to Summit,240808,Altitude AtII 15F Down Sleeping Bag - Women's Long,0.0
44.73,0,60.0,Big Agnes,240928,Big House 6 Footprint,0.0
149.73,0,199.95,Big Agnes,240924,Mica Basin Camp Chair - XL,0.0
449.73,0,599.95,Big Agnes,240926,Big House 6 Tent,0.0
13.73,2,21.0,Outdoor Research,224621,PackOut Graphic Stuff Sack - 10 L,5.0
216.73,6,289.95,Gregory,241172,Katmai 55 Pack - Men's,4.8
231.73,0,309.95,Gregory,241173,Katmai 65 Pack - Men's,0.0
112.73,0,200.0,Mountain Hardwear,222695,Lamina 30 Sleeping Bag - Women's Long,0.0
16.73,2,25.0,Outdoor Research,224623,PackOut Graphic Stuff Sack - 20 L,4.0
32.73,3,47.95,Gregory,227894,3D Hydro Trek Hydration Reservoir - 3 Liters,1.3
46.73,2,89.0,Exped,203801,Mira III HL Footprint,4.0
27.73,0,38.0,Mazama Designs,236944,INTAKE Insulated Reservoir - 2 Liters,0.0
92.73,4,140.0,Outdoor Research,214932,Warnick Sensor Gloves,4.3
15.73,2,23.0,Outdoor Research,224622,PackOut Graphic Stuff Sack - 15 L,5.0
69.73,0,150.0,Dragon,229123,Baile Sunglasses,0.0
70.73,0,119.9,Ledlenser,234513,MH10 Headlamp with Flex 3 Power Bank,0.0
24.73,7,33.0,Osprey,233343,Hydraulics LT Reservoir - 2.5 Liters,2.7
39.73,0,60.0,Mountain Hardwear,230939,Outpost 2 Footprint,0.0
29.73,8,40.0,Gerber,237940,Armbar Slim Cut Multi-Tool,1.9
29.73,0,39.95,Ignik,241206,12' Propane Adaptor Hose,0.0
13.73,0,19.95,Ledlenser,234511,Kidcamp6 Electric Lantern,0.0
52.73,1,89.95,Ledlenser,234519,P6R Core Rechargeable Flashlight,2.0
